year;qrt;region;area_type;tran_count;area_total;area_mean;eur_total;eur_min;eur_max;em_min;em_max;em_median;em_mean;em_sd
2004;4;Kristiine linnaosa;30-40,99;53;1 926,60;36,35;1 545 841;767;46 656;19,03;1 366,53;825,61;808,59;252,33
2004;4;Kristiine linnaosa;41-54,99;58;2 825,40;48,71;2 358 499;3 196;60 013;68,57;1 169,79;865,83;829,35;217,66
2004;4;Kristiine linnaosa;55-69,99;35;2 241,50;64,04;1 770 935;10 446;72 220;157,09;1 073,11;787,64;788,17;196,19
2004;4;Kristiine linnaosa;70-249,99;25;2 668,80;106,75;2 237 079;9 587;168 088;95,11;1 183,55;944,44;873,81;256,78
2004;4;Lasnamäe linnaosa;10-29,99;40;807,67;20,19;506 878;3 196;34 512;137,09;1 487,60;610,20;607,54;259,50
2004;4;Lasnamäe linnaosa;30-40,99;196;6 539,90;33,37;4 600 015;3 196;38 347;98,93;1 172,69;736,69;703,23;151,09
2004;4;Lasnamäe linnaosa;41-54,99;189;9 225,80;48,81;5 827 397;493;88 837;9,98;1 657,41;670,40;633,96;196,96
2004;4;Lasnamäe linnaosa;55-69,99;192;12 358,80;64,37;6 791 893;328;53 047;5,22;894,99;600,69;549,30;163,43
2004;4;Lasnamäe linnaosa;70-249,99;47;3 910,60;83,20;1 913 397;9 774;96 630;85,66;1 253,30;542,65;505,50;245,19
2004;4;Mustamäe linnaosa;10-29,99;22;614,43;27,93;486 734;9 587;28 760;578,21;961,88;820,37;782,10;113,63
2004;4;Mustamäe linnaosa;30-40,99;30;1 027,80;34,26;745 299;9 587;42 821;317,44;1 100,79;713,97;725,89;140,54
2004;4;Mustamäe linnaosa;41-54,99;197;8 962,60;45,50;6 685 576;3 196;69 664;67,56;1 594,14;768,04;742,17;190,13
2004;4;Mustamäe linnaosa;55-69,99;111;6 919,40;62,34;4 723 246;15 339;69 919;253,53;1 037,38;676,09;679,59;144,65
2004;4;Mustamäe linnaosa;70-249,99;18;1 419,80;78,88;996 574;30 678;76 502;392,80;883,20;688,71;699,58;120,05
2004;4;Nõmme linnaosa;10-29,99;11;262,90;23,90;170 388;6 391;31 956;256,50;1 153,64;591,77;631,00;272,60
2004;4;Nõmme linnaosa;30-40,99;12;412,90;34,41;310 990;7 989;49 975;234,97;1 258,81;729,95;750,82;311,95
2004;4;Nõmme linnaosa;41-54,99;31;1 472,20;47,49;1 070 602;5 701;70 303;115,16;1 397,67;775,69;722,75;342,99
2004;4;Nõmme linnaosa;55-69,99;19;1 161,50;61,13;919 928;6 391;76 694;113,72;1 207,78;853,45;795,33;299,12
2004;4;Nõmme linnaosa;70-249,99;23;2 298,75;99,95;1 754 583;7 989;159 047;113,80;1 279,36;867,93;750,48;313,54
2004;4;Pirita linnaosa;30-40,99;1;37,70;37,70;***;***;***;***;***;***;***;***
2004;4;Pirita linnaosa;41-54,99;2;98,10;49,05;***;***;***;***;***;***;***;***
2004;4;Pirita linnaosa;55-69,99;25;1 629,80;65,19;1 659 514;48 652;76 694;861,10;1 313,25;1 024,53;1 019,99;108,59
2004;4;Pirita linnaosa;70-249,99;39;3 549,50;91,01;3 595 359;58 876;230 082;594,78;1 745,69;961,30;1 008,12;221,40
2004;4;Põhja-Tallinna linnaosa;10-29,99;74;1 650,92;22,31;1 024 411;639;61 355;23,41;2 577,95;625,71;609,78;421,68
2004;4;Põhja-Tallinna linnaosa;30-40,99;91;3 365,90;36,99;2 302 940;639;47 934;15,78;1 516,89;700,40;683,63;238,29
2004;4;Põhja-Tallinna linnaosa;41-54,99;115;5 379,70;46,78;3 518 892;639;72 534;15,11;1 343,23;670,40;651,33;267,57
2004;4;Põhja-Tallinna linnaosa;55-69,99;73;4 460,70;61,11;3 159 619;2 033;92 399;34,58;1 351,21;706,88;708,51;255,96
2004;4;Põhja-Tallinna linnaosa;70-249,99;42;4 232,70;100,78;2 545 793;11 504;150 192;56,53;1 541,18;648,50;636,79;289,70
2005;1;Haabersti linnaosa;10-29,99;2;39,30;19,65;***;***;***;***;***;***;***;***
2005;1;Haabersti linnaosa;30-40,99;43;1 428,10;33,21;1 138 608;8 809;37 708;267,76;1 100,28;835,32;796,93;186,17
2005;1;Haabersti linnaosa;41-54,99;55;2 768,00;50,33;2 042 680;3 196;54 325;60,98;1 040,71;763,12;737,12;204,66
2005;1;Haabersti linnaosa;55-69,99;73;4 744,40;64,99;3 361 181;9 587;99 063;146,81;1 533,48;703,70;709,35;219,22
2005;1;Haabersti linnaosa;70-249,99;31;2 508,40;80,92;***;***;***;***;***;***;***;***
2005;1;Kesklinna linnaosa;10-29,99;46;1 066,30;23,18;1 151 049;4 793;124 628;208,74;4 499,20;1 016,15;1 045,21;732,60
2005;1;Kesklinna linnaosa;30-40,99;74;2 679,70;36,21;2 916 376;9 327;121 432;243,53;3 121,65;1 067,03;1 082,43;423,37
2005;1;Kesklinna linnaosa;41-54,99;122;5 875,50;48,16;6 814 049;14 380;127 823;316,74;2 834,22;1 141,98;1 159,06;350,90
2005;1;Kesklinna linnaosa;55-69,99;133;8 256,70;62,08;8 760 087;7 489;178 953;113,98;2 647,23;1 027,34;1 062,60;418,84
2005;1;Kesklinna linnaosa;70-249,99;153;14 890,90;97,33;17 745 162;995;406 509;13,43;3 054,90;1 146,53;1 162,41;476,23
2005;1;Kristiine linnaosa;10-29,99;26;479,20;18,43;402 835;959;47 934;81,24;1 687,81;777,11;788,40;313,88
2005;1;Kristiine linnaosa;30-40,99;45;1 634,10;36,31;1 277 326;1 431;47 295;35,50;1 193,16;804,93;784,68;262,29
2005;1;Kristiine linnaosa;41-54,99;43;2 029,40;47,20;1 603 627;2 465;61 866;46,51;1 231,47;795,58;791,95;209,21
2005;1;Kristiine linnaosa;55-69,99;24;1 522,30;63,43;1 117 403;8 245;81 168;141,42;1 227,95;803,05;735,24;256,60
2005;1;Kristiine linnaosa;70-249,99;20;2 260,60;113,03;2 080 058;19 173;167 704;254,29;1 409,55;984,41;903,31;260,15
