year;qrt;region;area_type;tran_count;area_total;area_mean;eur_total;eur_min;eur_max;em_min;em_max;em_median;em_mean;em_sd
2006;4;Mustamäe linnaosa;55-69,99;154;9 414,70;61,13;11 909 484;3 978;123 349;66,20;2 005,68;1 313,32;1 265,16;382,42
2006;4;Mustamäe linnaosa;70-249,99;29;2 407,50;83,02;3 184 169;8 296;264 737;114,27;1 954,04;1 345,51;1 301,61;417,46
2006;4;Nõmme linnaosa;10-29,99;13;235,60;18,12;347 488;13 741;56 881;660,63;2 154,60;1 637,74;1 485,15;426,55
2006;4;Nõmme linnaosa;30-40,99;16;546,40;34,15;869 326;9 587;92 352;294,98;2 572,49;1 644,71;1 581,11;555,31
2006;4;Nõmme linnaosa;41-54,99;30;1 384,60;46,15;2 144 356;6 192;148 275;148,84;3 237,45;1 465,61;1 541,52;581,61
2006;4;Nõmme linnaosa;55-69,99;23;1 440,20;62,62;2 187 927;3 196;162 975;50,24;2 526,74;1 658,04;1 514,96;556,30
2006;4;Nõmme linnaosa;70-249,99;24;2 383,50;99,31;3 621 597;20 218;287 602;220,72;2 685,36;1 595,49;1 547,14;612,94
2006;4;Pirita linnaosa;30-40,99;5;196,10;39,22;257 944;8 717;100 980;219,57;2 511,95;1 534,22;1 327,23;1 019,27
2006;4;Pirita linnaosa;41-54,99;9;423,30;47,03;843 059;64 295;121 432;1 471,28;2 463,13;1 959,06;1 980,40;306,89
2006;4;Pirita linnaosa;55-69,99;34;2 204,80;64,85;3 782 189;31 956;208 991;467,87;3 046,52;1 763,28;1 719,71;418,67
2006;4;Pirita linnaosa;70-249,99;82;8 257,40;100,70;13 389 862;23 570;357 905;322,88;2 420,90;1 612,00;1 622,79;347,23
2006;4;Põhja-Tallinna linnaosa;10-29,99;120;2 505,60;20,88;3 603 562;3 196;107 372;228,26;3 591,02;1 494,75;1 400,00;534,94
2006;4;Põhja-Tallinna linnaosa;30-40,99;93;3 380,70;36,35;4 976 983;6 391;86 281;174,15;2 347,59;1 484,50;1 476,93;489,03
2006;4;Põhja-Tallinna linnaosa;41-54,99;131;6 254,40;47,74;9 360 451;6 389;137 410;134,50;3 040,05;1 483,43;1 495,24;551,64
2006;4;Põhja-Tallinna linnaosa;55-69,99;88;5 397,20;61,33;7 793 256;4 033;203 878;63,71;2 929,28;1 480,62;1 447,65;622,27
2006;4;Põhja-Tallinna linnaosa;70-249,99;41;3 568,00;87,02;5 038 213;9 981;258 842;85,90;2 921,47;1 485,30;1 424,99;559,11
2007;1;Haabersti linnaosa;10-29,99;7;126,50;18,07;227 206;21 091;57 201;1 150,41;2 458,14;1 882,06;1 855,81;438,95
2007;1;Haabersti linnaosa;30-40,99;47;1 587,80;33,78;2 457 841;10 545;108 650;320,53;3 001,38;1 558,39;1 550,04;344,12
2007;1;Haabersti linnaosa;41-54,99;112;5 541,30;49,48;8 115 392;3 835;140 606;80,56;2 730,21;1 420,26;1 463,97;480,64
2007;1;Haabersti linnaosa;55-69,99;106;6 846,54;64,59;9 682 332;1 590;207 250;24,27;3 007,98;1 389,70;1 413,36;526,46
2007;1;Haabersti linnaosa;70-249,99;75;6 338,58;84,51;9 882 215;18 343;312 528;239,46;2 596,86;1 487,33;1 544,89;454,43
2007;1;Kesklinna linnaosa;10-29,99;49;1 179,10;24,06;2 269 853;6 391;153 388;265,19;5 307,54;1 874,20;1 911,81;830,50
2007;1;Kesklinna linnaosa;30-40,99;125;4 465,00;35,72;9 639 458;7 669;203 239;229,62;6 085,00;2 164,47;2 179,88;743,29
2007;1;Kesklinna linnaosa;41-54,99;201;9 630,90;47,91;21 903 058;9 743;262 038;217,49;5 048,90;2 291,03;2 265,51;730,25
2007;1;Kesklinna linnaosa;55-69,99;155;9 631,30;62,14;22 006 367;11 185;869 198;197,26;13 623,80;2 215,47;2 277,67;1 194,32
2007;1;Kesklinna linnaosa;70-249,99;160;15 729,00;98,31;33 976 103;16 617;1 046 138;235,70;6 071,61;2 164,40;2 159,69;922,75
2007;1;Kristiine linnaosa;10-29,99;31;652,20;21,04;1 064 819;5 280;70 303;194,85;2 693,59;1 763,45;1 658,35;553,70
2007;1;Kristiine linnaosa;30-40,99;37;1 350,40;36,50;2 589 535;38 347;106 029;1 014,47;2 900,89;1 917,35;1 918,65;432,99
2007;1;Kristiine linnaosa;41-54,99;68;3 155,40;46,40;5 417 395;15 403;126 545;358,22;2 660,47;1 764,32;1 714,37;465,57
2007;1;Kristiine linnaosa;55-69,99;46;2 861,70;62,21;4 121 368;13 421;148 914;227,87;2 177,11;1 423,89;1 440,71;472,48
2007;1;Kristiine linnaosa;70-249,99;71;6 888,00;97,01;11 350 986;34 069;318 919;451,24;2 552,83;1 684,84;1 639,59;412,63
2007;1;Lasnamäe linnaosa;10-29,99;29;527,55;18,19;782 769;10 865;60 716;505,59;2 274,82;1 597,79;1 511,79;451,20
2007;1;Lasnamäe linnaosa;30-40,99;199;6 678,60;33,56;10 047 825;5 432;95 867;160,72;2 958,87;1 539,34;1 503,43;321,07
2007;1;Lasnamäe linnaosa;41-54,99;218;10 731,10;49,23;14 311 924;4 079;122 071;77,11;2 461,11;1 438,34;1 334,12;443,87
2007;1;Lasnamäe linnaosa;55-69,99;218;13 906,30;63,79;16 905 117;6 756;139 327;107,61;2 314,41;1 312,07;1 216,91;391,46
2007;1;Lasnamäe linnaosa;70-249,99;49;3 884,40;79,27;4 511 753;6 010;175 757;75,51;1 604,94;1 262,19;1 163,66;388,05
2007;1;Mustamäe linnaosa;10-29,99;48;922,30;19,21;1 648 026;4 793;55 923;221,92;2 210,78;1 938,70;1 833,95;337,39
2007;1;Mustamäe linnaosa;30-40,99;27;908,30;33,64;1 520 586;43 140;80 209;1 428,49;2 318,18;1 576,37;1 670,84;252,68
2007;1;Mustamäe linnaosa;41-54,99;200;9 045,50;45,23;13 058 320;1 278;114 082;29,59;2 343,43;1 466,94;1 442,41;423,37
2007;1;Mustamäe linnaosa;55-69,99;131;8 045,40;61,42;10 708 042;1 055;143 162;15,86;2 290,59;1 398,07;1 330,79;386,69
2007;1;Mustamäe linnaosa;70-249,99;15;1 191,50;79,43;1 680 806;28 217;146 677;316,68;1 990,99;1 519,98;1 419,48;418,09
2007;1;Nõmme linnaosa;10-29,99;16;348,90;21,81;588 072;10 354;70 303;472,77;2 734,19;1 626,13;1 657,72;685,49
2007;1;Nõmme linnaosa;30-40,99;17;589,10;34,65;898 997;12 143;121 432;399,45;3 499,49;1 552,84;1 518,01;721,36
2007;1;Nõmme linnaosa;41-54,99;34;1 585,80;46,64;2 266 871;13 447;127 823;309,83;2 389,22;1 492,39;1 420,33;513,19
2007;1;Nõmme linnaosa;55-69,99;20;1 285,10;64,26;1 591 722;13 264;191 735;209,54;2 815,49;1 250,73;1 230,42;615,79
2007;1;Nõmme linnaosa;70-249,99;28;2 619,06;93,54;4 204 583;42 821;268 429;462,12;2 943,81;1 755,12;1 630,63;531,66
2007;1;Pirita linnaosa;10-29,99;1;26,00;26,00;***;***;***;***;***;***;***;***
2007;1;Pirita linnaosa;30-40,99;10;364,80;36,48;620 032;19 173;95 867;486,64;2 887,57;1 758,77;1 700,85;773,42
2007;1;Pirita linnaosa;41-54,99;7;362,40;51,77;***;***;***;***;***;***;***;***
2007;1;Pirita linnaosa;55-69,99;18;1 124,20;62,46;2 023 163;36 251;157 862;606,73;2 566,86;1 883,26;1 797,03;493,14
2007;1;Pirita linnaosa;70-249,99;38;3 665,10;96,45;6 517 006;70 303;428 208;694,85;2 625,78;1 844,50;1 783,25;445,58
2007;1;Põhja-Tallinna linnaosa;10-29,99;105;2 160,70;20,58;3 126 908;5 113;73 498;195,62;2 939,33;1 548,78;1 450,25;515,64
2007;1;Põhja-Tallinna linnaosa;30-40,99;84;3 028,10;36,05;4 248 833;4 883;103 537;124,88;2 832,65;1 439,31;1 402,94;546,28
2007;1;Põhja-Tallinna linnaosa;41-54,99;109;5 125,30;47,02;7 753 092;639;132 297;13,72;3 028,99;1 511,52;1 508,61;539,83
2007;1;Põhja-Tallinna linnaosa;55-69,99;45;2 774,30;61,65;3 817 394;4 474;134 214;73,34;2 365,19;1 392,81;1 382,65;562,77
2007;1;Põhja-Tallinna linnaosa;70-249,99;37;3 349,90;90,54;4 388 863;13 421;238 710;143,09;2 317,57;1 431,94;1 305,84;589,93
2007;2;Haabersti linnaosa;10-29,99;9;193,20;21,47;243 823;3 196;54 005;194,85;2 069,17;1 363,97;1 246,22;555,07
2007;2;Haabersti linnaosa;30-40,99;44;1 476,50;33,56;2 490 196;19 813;100 648;548,83;2 669,71;1 575,97;1 677,49;358,25
2007;2;Haabersti linnaosa;41-54,99;100;4 980,60;49,81;8 653 687;13 421;218 169;288,01;4 244,53;1 650,42;1 739,20;594,42
2007;2;Haabersti linnaosa;55-69,99;104;6 751,69;64,92;9 623 739;10 442;168 484;159,41;2 640,10;1 474,08;1 437,22;558,05
2007;2;Haabersti linnaosa;70-249,99;113;10 460,38;92,57;13 873 777;32 999;360 653;247,93;2 559,39;1 513,61;1 336,17;711,29
2007;2;Kesklinna linnaosa;10-29,99;55;1 285,30;23,37;2 808 463;1 527;191 735;75,22;6 751,23;1 794,31;2 106,45;1 296,10
2007;2;Kesklinna linnaosa;30-40,99;115;4 058,90;35,29;8 910 069;2 556;223 691;65,89;6 637,71;2 156,53;2 197,35;960,71
2007;2;Kesklinna linnaosa;41-54,99;150;7 220,20;48,13;16 899 583;17 477;338 732;361,09;6 415,37;2 329,05;2 330,24;887,56
2007;2;Kesklinna linnaosa;55-69,99;156;9 793,60;62,78;20 548 558;3 196;329 465;52,47;5 418,82;2 226,81;2 108,94;784,59
2007;2;Kesklinna linnaosa;70-249,99;160;15 948,10;99,68;36 159 125;6 391;2 236 908;60,87;9 122,79;2 055,70;2 174,31;1 205,49
2007;2;Kristiine linnaosa;10-29,99;30;677,58;22,59;1 229 659;15 978;68 066;764,49;2 485,45;1 875,52;1 823,54;394,48
2007;2;Kristiine linnaosa;30-40,99;41;1 449,03;35,34;2 376 955;16 937;85 514;438,77;2 285,45;1 671,08;1 659,23;469,46
2007;2;Kristiine linnaosa;41-54,99;54;2 555,35;47,32;4 062 500;4 793;116 639;91,30;2 511,44;1 745,62;1 602,11;625,42
2007;2;Kristiine linnaosa;55-69,99;36;2 250,82;62,52;3 592 255;10 783;151 151;182,46;2 286,70;1 634,98;1 588,69;532,52
2007;2;Kristiine linnaosa;70-249,99;33;3 725,60;112,90;6 310 201;76 694;325 949;695,45;2 551,28;1 832,10;1 730,91;435,19
2007;2;Lasnamäe linnaosa;10-29,99;36;706,60;19,63;988 403;3 835;71 261;316,92;2 980,75;1 312,65;1 354,54;603,94
2007;2;Lasnamäe linnaosa;30-40,99;224;7 608,90;33,97;11 267 993;4 843;86 281;148,55;2 148,75;1 558,82;1 477,02;381,90
2007;2;Lasnamäe linnaosa;41-54,99;230;11 362,10;49,40;16 398 533;6 736;146 997;136,64;2 745,10;1 510,76;1 443,29;355,53
2007;2;Lasnamäe linnaosa;55-69,99;203;12 990,90;63,99;17 143 015;7 570;127 823;125,54;2 212,33;1 368,83;1 320,82;360,29
2007;2;Lasnamäe linnaosa;70-249,99;52;4 223,80;81,23;5 371 037;16 617;188 284;208,49;2 179,21;1 314,38;1 286,20;376,74
2007;2;Mustamäe linnaosa;10-29,99;55;1 209,05;21,98;2 060 403;9 587;61 036;574,06;2 203,85;1 716,15;1 749,67;319,54
2007;2;Mustamäe linnaosa;30-40,99;40;1 315,80;32,90;2 137 206;9 587;84 044;300,53;2 429,01;1 590,00;1 619,09;374,36
2007;2;Mustamäe linnaosa;41-54,99;228;10 295,50;45,16;16 034 760;4 629;110 248;104,74;2 315,44;1 535,92;1 555,64;369,25
2007;2;Mustamäe linnaosa;55-69,99;121;7 422,00;61,34;10 369 472;17 576;131 978;278,54;2 125,24;1 393,56;1 398,80;379,36
2007;2;Mustamäe linnaosa;70-249,99;19;1 497,10;78,79;2 527 874;47 135;180 402;672,39;2 376,46;1 797,06;1 690,76;410,94
2007;2;Nõmme linnaosa;10-29,99;3;68,60;22,87;***;***;***;***;***;***;***;***
2007;2;Nõmme linnaosa;30-40,99;15;542,40;36,16;***;***;***;***;***;***;***;***
2007;2;Nõmme linnaosa;41-54,99;24;1 120,41;46,68;1 809 481;9 569;185 344;204,91;3 716,54;1 545,39;1 625,54;757,34
2007;2;Nõmme linnaosa;55-69,99;17;1 048,60;61,68;1 539 189;12 217;127 823;193,61;2 211,48;1 666,57;1 472,39;560,74
2007;2;Nõmme linnaosa;70-249,99;15;1 366,80;91,12;2 233 354;35 151;242 864;438,30;2 485,82;1 549,47;1 643,55;662,86
2007;2;Pirita linnaosa;30-40,99;11;414,40;37,67;706 973;39 593;106 732;1 050,22;2 635,37;1 818,90;1 704,43;592,25
2007;2;Pirita linnaosa;41-54,99;14;729,40;52,10;1 290 229;54 145;129 421;1 013,95;2 428,16;1 873,14;1 772,71;606,62
2007;2;Pirita linnaosa;55-69,99;34;2 073,60;60,99;3 096 464;39 168;146 997;597,08;2 413,74;1 125,45;1 476,36;506,44
2007;2;Pirita linnaosa;70-249,99;58;5 753,00;99,19;9 682 931;19 173;351 514;161,39;2 485,45;1 855,81;1 683,90;510,55
2007;2;Põhja-Tallinna linnaosa;10-29,99;110;2 189,75;19,91;3 583 105;1 278;95 867;108,32;4 684,62;1 704,34;1 626,53;694,56
2007;2;Põhja-Tallinna linnaosa;30-40,99;66;2 384,60;36,13;3 634 842;9 587;100 661;309,25;2 757,83;1 516,54;1 526,18;441,53
2007;2;Põhja-Tallinna linnaosa;41-54,99;100;4 734,40;47,34;6 985 049;10 226;172 561;202,89;3 299,45;1 487,19;1 480,30;482,77
2007;2;Põhja-Tallinna linnaosa;55-69,99;55;3 399,10;61,80;5 108 397;6 096;210 908;106,20;3 693,67;1 475,31;1 507,82;647,11
2007;2;Põhja-Tallinna linnaosa;70-249,99;30;2 918,90;97,30;3 968 024;30 408;208 991;295,51;2 568,48;1 468,74;1 429,30;491,53
2007;3;Haabersti linnaosa;10-29,99;7;142,50;20,36;137 730;8 309;33 554;282,60;1 446,28;1 377,41;1 054,48;466,45
2007;3;Haabersti linnaosa;30-40,99;27;885,80;32,81;1 335 114;24 926;67 746;759,93;1 903,75;1 539,34;1 505,56;275,46
2007;3;Haabersti linnaosa;41-54,99;45;2 251,70;50,04;3 416 658;1 917;121 432;36,24;2 476,03;1 481,92;1 519,24;425,76
2007;3;Haabersti linnaosa;55-69,99;64;4 136,30;64,63;5 879 937;5 337;127 823;81,35;2 092,03;1 435,57;1 424,91;306,35
2007;3;Haabersti linnaosa;70-249,99;30;3 053,95;101,80;4 990 697;45 862;345 123;584,97;2 562,32;1 545,31;1 597,07;417,63
2007;3;Kesklinna linnaosa;10-29,99;43;1 105,20;25,70;2 330 193;9 488;146 997;328,29;5 051,44;2 125,90;2 081,62;744,47
2007;3;Kesklinna linnaosa;30-40,99;75;2 693,20;35,91;5 664 042;6 391;159 779;193,09;3 994,48;2 114,89;2 106,76;626,65
2007;3;Kesklinna linnaosa;41-54,99;119;5 776,80;48,54;12 703 762;9 587;302 941;215,43;5 558,55;2 166,27;2 190,59;774,05
2007;3;Kesklinna linnaosa;55-69,99;93;5 697,50;61,26;11 864 390;21 730;272 618;391,53;4 558,82;2 122,86;2 079,63;775,20
2007;3;Kesklinna linnaosa;70-249,99;135;13 185,40;97,67;29 756 694;7 965;762 146;93,93;7 922,93;2 190,71;2 279,89;1 118,37
2007;3;Kristiine linnaosa;10-29,99;20;489,20;24,46;796 686;10 332;70 303;356,28;2 424,23;1 706,63;1 636,95;454,59
2007;3;Kristiine linnaosa;30-40,99;33;1 156,41;35,04;1 871 653;8 500;85 642;259,15;2 301,86;1 651,87;1 615,89;457,31
2007;3;Kristiine linnaosa;41-54,99;51;2 382,09;46,71;4 300 393;28 760;121 432;576,36;2 563,49;1 845,67;1 798,38;373,01
2007;3;Kristiine linnaosa;55-69,99;34;2 136,99;62,85;3 166 624;5 304;143 801;80,86;2 271,74;1 530,41;1 488,49;577,37
2007;3;Kristiine linnaosa;70-249,99;15;1 334,32;88,95;2 694 212;51 129;492 120;641,52;3 453,47;1 799,23;1 930,01;588,88
2007;3;Lasnamäe linnaosa;10-29,99;30;629,40;20,98;864 500;5 432;79 890;456,51;3 072,68;1 322,29;1 325,90;631,96
2007;3;Lasnamäe linnaosa;30-40,99;121;4 099,30;33,88;6 254 494;639;89 157;19,60;2 228,92;1 556,62;1 524,65;260,69
2007;3;Lasnamäe linnaosa;41-54,99;139;6 876,50;49,47;9 732 440;6 589;115 041;133,92;2 517,31;1 428,44;1 413,25;317,35
2007;3;Lasnamäe linnaosa;55-69,99;131;8 325,00;63,55;10 325 903;2 812;143 737;43,00;2 395,62;1 339,29;1 246,44;437,04
2007;3;Lasnamäe linnaosa;70-249,99;49;4 253,90;86,81;4 964 532;31 956;233 278;317,02;2 061,40;1 270,29;1 205,74;403,89
2007;3;Mustamäe linnaosa;10-29,99;62;1 157,90;18,68;1 974 987;12 782;59 438;565,03;2 139,65;1 870,58;1 766,77;334,35
2007;3;Mustamäe linnaosa;30-40,99;21;691,20;32,91;1 048 918;6 391;71 581;209,55;1 812,18;1 566,05;1 519,49;331,65
2007;3;Mustamäe linnaosa;41-54,99;151;6 811,10;45,11;9 795 700;3 368;123 458;79,43;2 610,11;1 456,59;1 435,14;366,37
2007;3;Mustamäe linnaosa;55-69,99;74;4 536,50;61,30;5 830 217;6 391;133 259;104,77;2 125,34;1 379,22;1 284,89;442,24
2007;3;Mustamäe linnaosa;70-249,99;10;814,90;81,49;1 367 972;95 867;176 716;1 342,68;1 968,48;1 743,53;1 682,28;207,87
2007;3;Nõmme linnaosa;10-29,99;12;280,00;23,33;418 408;11 504;51 449;716,77;2 563,30;1 539,95;1 498,92;546,84
2007;3;Nõmme linnaosa;30-40,99;17;614,50;36,15;910 973;867;137 410;21,94;3 559,85;1 487,25;1 478,22;855,26
2007;3;Nõmme linnaosa;41-54,99;15;702,60;46,84;1 146 532;53 686;113 124;1 167,08;2 118,42;1 606,71;1 630,08;224,30
2007;3;Nõmme linnaosa;55-69,99;20;1 241,20;62,06;2 136 530;39 653;142 203;603,54;2 342,73;1 838,29;1 729,07;485,46
2007;3;Nõmme linnaosa;70-249,99;21;2 428,50;115,64;3 634 324;8 740;297 189;101,16;2 604,64;1 658,20;1 518,02;586,89
2007;3;Pirita linnaosa;10-29,99;1;25,90;25,90;***;***;***;***;***;***;***;***
2007;3;Pirita linnaosa;30-40,99;3;114,10;38,03;***;***;***;***;***;***;***;***
2007;3;Pirita linnaosa;41-54,99;13;668,90;51,45;1 404 724;86 281;135 119;1 663,87;2 846,84;1 993,57;2 107,92;321,53
2007;3;Pirita linnaosa;55-69,99;8;514,50;64,31;863 191;71 325;131 658;1 271,40;1 979,82;1 610,79;1 675,18;232,05
2007;3;Pirita linnaosa;70-249,99;39;4 047,20;103,77;7 116 704;12 782;393 236;161,60;3 043,41;1 862,57;1 720,01;652,01
2007;3;Põhja-Tallinna linnaosa;10-29,99;78;1 615,35;20,71;2 455 612;6 391;61 994;258,75;2 471,72;1 581,54;1 510,52;474,26
2007;3;Põhja-Tallinna linnaosa;30-40,99;63;2 279,70;36,19;2 984 933;5 432;97 950;144,10;2 713,29;1 354,28;1 314,16;525,35
2007;3;Põhja-Tallinna linnaosa;41-54,99;79;3 707,10;46,93;5 436 692;2 535;127 823;56,34;2 968,81;1 472,62;1 474,50;555,21
2007;3;Põhja-Tallinna linnaosa;55-69,99;30;1 848,90;61,63;2 348 305;3 609;162 975;64,91;2 372,27;1 399,19;1 263,29;543,65
2007;3;Põhja-Tallinna linnaosa;70-249,99;21;2 012,40;95,83;2 887 656;19 173;262 038;262,65;2 500,36;1 498,70;1 438,28;627,25
2007;4;Haabersti linnaosa;10-29,99;1;26,35;26,35;***;***;***;***;***;***;***;***
2007;4;Haabersti linnaosa;30-40,99;21;715,70;34,08;***;***;***;***;***;***;***;***
2007;4;Haabersti linnaosa;41-54,99;42;2 115,30;50,36;2 854 421;8 309;121 432;157,06;2 395,11;1 476,78;1 351,45;500,17
2007;4;Haabersti linnaosa;55-69,99;72;4 559,51;63,33;6 279 571;18 086;226 504;272,79;3 306,63;1 415,13;1 379,16;419,39
2007;4;Haabersti linnaosa;70-249,99;45;4 134,10;91,87;6 227 348;27 290;434 599;274,00;2 942,45;1 454,23;1 487,51;486,22
2007;4;Kesklinna linnaosa;10-29,99;42;957,30;22,79;1 763 402;7 669;99 063;393,30;4 392,03;1 725,78;1 789,43;881,53
2007;4;Kesklinna linnaosa;30-40,99;57;2 034,50;35,69;4 231 539;20 771;166 503;555,38;4 985,11;2 020,20;2 083,72;646,56
2007;4;Kesklinna linnaosa;41-54,99;97;4 770,75;49,18;10 433 042;20 132;422 456;415,95;8 001,06;2 085,41;2 187,80;1 170,78
2007;4;Kesklinna linnaosa;55-69,99;84;5 236,40;62,34;10 917 491;11 709;223 691;196,12;3 843,48;2 127,27;2 089,29;707,82
2007;4;Kesklinna linnaosa;70-249,99;85;9 085,45;106,89;20 415 950;44 738;1 015 171;555,75;9 007,73;2 079,80;2 247,06;1 322,37
2007;4;Kristiine linnaosa;10-29,99;29;641,35;22,12;1 080 746;9 587;63 912;392,90;2 449,95;1 819,21;1 689,15;456,33
2007;4;Kristiine linnaosa;30-40,99;34;1 195,47;35,16;1 717 478;165;93 311;4,23;2 396,69;1 615,74;1 429,51;707,83
2007;4;Kristiine linnaosa;41-54,99;43;1 990,88;46,30;2 962 084;10 255;109 928;227,89;2 335,42;1 580,61;1 492,83;503,51
2007;4;Kristiine linnaosa;55-69,99;35;2 174,50;62,13;3 338 191;25 565;152 110;438,50;2 253,48;1 573,51;1 528,49;400,72
2007;4;Kristiine linnaosa;70-249,99;19;1 796,92;94,57;2 960 428;102 259;329 145;1 063,42;2 491,04;1 622,58;1 676,39;361,69
2007;4;Lasnamäe linnaosa;10-29,99;22;421,80;19,17;512 252;7 989;47 934;494,41;1 992,23;1 029,32;1 166,66;441,04
2007;4;Lasnamäe linnaosa;30-40,99;133;4 535,30;34,10;6 533 698;5 404;80 209;167,82;2 338,23;1 461,39;1 440,48;385,05
2007;4;Lasnamäe linnaosa;41-54,99;168;8 271,10;49,23;10 848 998;8 628;107 377;174,66;2 130,49;1 380,38;1 318,71;406,32
2007;4;Lasnamäe linnaosa;55-69,99;142;8 997,40;63,36;11 414 868;5 218;134 214;80,40;2 039,73;1 289,60;1 276,27;394,61
2007;4;Lasnamäe linnaosa;70-249,99;70;5 653,60;80,77;7 196 770;3 709;171 986;21,60;1 989,47;1 542,54;1 316,13;526,67
2007;4;Mustamäe linnaosa;10-29,99;34;665,60;19,58;1 017 218;7 669;60 397;627,35;2 058,17;1 647,67;1 546,74;444,90
2007;4;Mustamäe linnaosa;30-40,99;21;710,70;33,84;1 210 574;41 543;74 387;1 304,32;2 163,43;1 698,65;1 706,69;226,54
2007;4;Mustamäe linnaosa;41-54,99;152;6 798,60;44,73;9 566 959;6 391;121 432;151,81;2 778,77;1 396,05;1 405,33;382,42
2007;4;Mustamäe linnaosa;55-69,99;100;6 169,20;61,69;8 431 712;18 534;125 267;329,21;1 895,11;1 355,79;1 361,42;314,46
2007;4;Mustamäe linnaosa;70-249,99;31;2 618,90;84,48;3 979 373;6 183;169 366;69,55;1 922,69;1 640,86;1 539,14;341,03
2007;4;Nõmme linnaosa;10-29,99;9;181,80;20,20;247 019;7 669;42 182;355,06;2 331,37;1 527,71;1 422,01;600,78
2007;4;Nõmme linnaosa;30-40,99;12;432,10;36,01;827 815;38 347;111 845;1 179,91;3 098,21;1 720,61;1 887,92;589,01
2007;4;Nõmme linnaosa;41-54,99;17;800,30;47,08;1 219 464;12 463;140 606;262,37;2 719,64;1 480,06;1 513,68;753,04
2007;4;Nõmme linnaosa;55-69,99;10;620,20;62,02;968 595;10 418;146 997;187,70;2 643,83;1 982,64;1 563,99;831,00
2007;4;Nõmme linnaosa;70-249,99;28;3 005,58;107,34;4 785 616;33 633;383 470;311,13;2 614,97;1 691,16;1 632,99;474,45
2007;4;Pirita linnaosa;10-29,99;1;26,60;26,60;***;***;***;***;***;***;***;***
2007;4;Pirita linnaosa;30-40,99;1;37,70;37,70;***;***;***;***;***;***;***;***
2007;4;Pirita linnaosa;41-54,99;1;49,40;49,40;***;***;***;***;***;***;***;***
2007;4;Pirita linnaosa;55-69,99;6;371,10;61,85;539 748;3 209;113 443;57,10;2 025,77;1 595,24;1 437,18;697,50
2007;4;Pirita linnaosa;70-249,99;19;2 110,20;111,06;3 549 020;75 415;559 227;740,59;3 497,35;1 603,14;1 666,24;711,51
2007;4;Põhja-Tallinna linnaosa;10-29,99;82;1 634,60;19,93;2 139 896;383;73 746;19,56;2 499,86;1 317,72;1 299,64;438,65
2007;4;Põhja-Tallinna linnaosa;30-40,99;84;3 004,10;35,76;4 022 909;7 669;92 122;196,65;2 280,24;1 453,72;1 340,30;460,85
2007;4;Põhja-Tallinna linnaosa;41-54,99;83;3 878,95;46,73;5 727 184;3 118;121 432;65,92;2 711,40;1 447,57;1 480,40;454,47
2007;4;Põhja-Tallinna linnaosa;55-69,99;38;2 365,90;62,26;3 077 293;15 179;146 042;222,89;2 147,68;1 357,61;1 300,45;496,32
2007;4;Põhja-Tallinna linnaosa;70-249,99;44;4 035,60;91,72;5 508 427;9 217;239 669;120,17;2 326,88;1 426,25;1 387,58;593,96
2008;1;Haabersti linnaosa;10-29,99;5;103,10;20,62;96 507;3 835;39 625;306,78;1 329,71;881,54;794,13;472,55
2008;1;Haabersti linnaosa;30-40,99;26;861,80;33,15;1 296 064;31 956;86 281;977,24;2 223,73;1 471,12;1 496,44;237,63
2008;1;Haabersti linnaosa;41-54,99;51;2 596,20;50,91;3 547 538;16 232;134 214;350,58;2 601,06;1 328,86;1 362,38;355,37
2008;1;Haabersti linnaosa;55-69,99;61;3 905,17;64,02;5 231 147;18 938;227 162;288,25;3 355,42;1 293,96;1 343,13;438,59
2008;1;Haabersti linnaosa;70-249,99;52;4 796,65;92,24;8 031 449;76 694;249 255;747,33;2 809,78;1 637,70;1 692,15;431,23
2008;1;Kesklinna linnaosa;10-29,99;46;926,24;20,14;1 645 210;3 196;121 432;131,99;6 708,96;1 554,10;1 762,62;1 054,09
2008;1;Kesklinna linnaosa;30-40,99;59;2 059,83;34,91;3 854 364;12 782;204 006;388,52;6 071,61;1 846,34;1 872,50;833,17
2008;1;Kesklinna linnaosa;41-54,99;83;4 056,94;48,88;8 541 643;3 387;301 324;61,7;5 685,36;2 066,40;2 109,88;859,16
2008;1;Kesklinna linnaosa;55-69,99;68;4 264,60;62,71;8 116 494;10 069;201 322;167,53;3 169,17;1 881,55;1 907,82;636,87
2008;1;Kesklinna linnaosa;70-249,99;85;8 548,04;100,57;19 269 464;25 565;818 069;362,11;5 724,77;2 021,33;2 241,51;1 066,30
2008;1;Kristiine linnaosa;10-29,99;19;415;21,84;660 910;6 519;70 303;538,76;2 719,64;1 597,79;1 559,14;498,48
2008;1;Kristiine linnaosa;30-40,99;28;1 012,53;36,16;1 454 358;9 908;79 890;300,25;2 363,60;1 481,59;1 446,81;516,87
2008;1;Kristiine linnaosa;41-54,99;29;1 394,29;48,08;1 944 378;6 391;121 432;117,05;2 580,37;1 538,12;1 393,83;622,88
2008;1;Kristiine linnaosa;55-69,99;28;1 756,75;62,74;2 685 440;6 391;129 293;96,84;1 995,27;1 584,49;1 534,40;390,5
2008;1;Kristiine linnaosa;70-249,99;25;2 323,01;92,92;3 135 582;6 391;207 713;88,89;1 960,72;1 523,72;1 407,55;520,15
2008;1;Lasnamäe linnaosa;10-29,99;17;351,15;20,66;378 062;2 221;45 141;103,31;1 798,44;1 155,03;1 065,96;513,35
