"qtr_year";"region";"total_count";"region_area";"population";"tran_p_ha";"tran_p_pop"
2003-10-01;"Kassisaba";16;45;4766;0,355555555555556;0,00335711288292069
2003-10-01;"Katleri";44;38;5133;1,15789473684211;0,00857198519384376
2003-10-01;"Keldrimäe";38;35;5268;1,08571428571429;0,00721336370539104
2003-10-01;"Kelmiküla";6;21;1266;0,285714285714286;0,004739336492891
2003-10-01;"Kitseküla";31;140;4250;0,221428571428571;0,00729411764705882
2003-10-01;"Kivimäe";9;222;4809;0,0405405405405405;0,00187149095446039
2003-10-01;"Kompassi";9;16;1982;0,5625;0,00454086781029263
2003-10-01;"Kopli";24;282;7082;0,0851063829787234;0,00338887319966111
2003-10-01;"Kose";16;346;3337;0,046242774566474;0,00479472580161822
2003-10-01;"Kurepõllu";62;68;3890;0,911764705882353;0,0159383033419023
2003-10-01;"Kuristiku";61;84;11103;0,726190476190476;0,00549401062775826
2003-10-01;"Laagna";185;136;24093;1,36029411764706;0,00767857884032707
2003-10-01;"Laagri";4;41;906;0,0975609756097561;0,00441501103752759
2003-10-01;"Lepiku";2;162;1565;0,0123456790123457;0,0012779552715655
2003-10-01;"Lilleküla";122;546;26051;0,223443223443223;0,00468312156922959
2003-10-01;"Loopealse";2;57;2682;0,0350877192982456;0,000745712155108128
2003-10-01;"Maakri";17;13;1082;1,30769230769231;0,0157116451016636
2003-10-01;"Maarjamäe";2;155;2493;0,0129032258064516;0,000802246289610911
2003-10-01;"Mähe";30;282;6509;0,106382978723404;0,00460900291903518
2003-10-01;"Männiku";24;447;5870;0,0536912751677852;0,0040885860306644
2003-10-01;"Merivälja";2;163;3088;0,0122699386503067;0,000647668393782383
2003-10-01;"Mustakivi";105;116;20055;0,905172413793103;0,00523560209424084
2003-10-01;"Mustamäe";275;441;51293;0,623582766439909;0,00536135535063264
2003-10-01;"Mustjõe";7;179;3167;0,0391061452513966;0,00221029365329965
2003-10-01;"Nõmme";17;480;6685;0,0354166666666667;0,00254300673148841
2003-10-01;"Pääsküla";19;661;9879;0,0287443267776097;0,00192327158619293
2003-10-01;"Pae";102;58;13807;1,75862068965517;0,00738755703628594
2003-10-01;"Pelgulinn";89;238;16003;0,373949579831933;0,00556145722676998
2003-10-01;"Pelguranna";98;100;14968;0,98;0,00654730090860502
2003-10-01;"Pikaliiva";27;447;3241;0,0604026845637584;0,00833076211045974
2003-10-01;"Pirita";10;173;1019;0,0578034682080925;0,0098135426889107
2003-10-01;"Priisle";28;185;11077;0,151351351351351;0,00252776022388733
2003-10-01;"Rahumäe";5;162;3092;0,0308641975308642;0,00161707632600259
2003-10-01;"Raua";28;31;6088;0,903225806451613;0,00459921156373193
2003-10-01;"Raudalu";2;180;749;0,0111111111111111;0,00267022696929239
2003-10-01;"Sääse";48;61;8981;0,786885245901639;0,00534461641242623
2003-10-01;"Sadama";7;139;3464;0,0503597122302158;0,00202078521939954
2003-10-01;"Seli";96;95;12816;1,01052631578947;0,00749063670411985
2003-10-01;"Sibulaküla";15;13;2310;1,15384615384615;0,00649350649350649
2003-10-01;"Siili";15;26;3642;0,576923076923077;0,00411861614497529
2003-10-01;"Sikupilli";97;135;11901;0,718518518518519;0,00815057558188387
2003-10-01;"Sitsi";24;45;3865;0,533333333333333;0,00620957309184994
2003-10-01;"Sõjamäe";1;747;128;0,00133868808567604;0,0078125
