qtr_year;region;total_count;region_area;tran_p_ha
01/07/2016;Paljassaare;2;395;0,005063291
01/07/2016;Pelgulinn;99;238;0,415966387
01/07/2016;Pelguranna;140;100;1,4
01/07/2016;Pikaliiva;57;447;0,127516779
01/07/2016;Priisle;43;185;0,232432432
01/07/2016;Rahumäe;3;162;0,018518519
01/07/2016;Raua;32;31;1,032258065
01/07/2016;Sääse;29;61;0,475409836
01/07/2016;Sadama;26;139;0,18705036
01/07/2016;Seli;48;95;0,505263158
01/07/2016;Sibulaküla;9;13;0,692307692
01/07/2016;Siili;14;26;0,538461538
01/07/2016;Sikupilli;73;135;0,540740741
01/07/2016;Sitsi;23;45;0,511111111
01/07/2016;Südalinn;2;25;0,08
01/07/2016;Tatari;16;22;0,727272727
01/07/2016;Tiskre;17;139;0,122302158
01/07/2016;Tondi;25;133;0,187969925
01/07/2016;Tõnismäe;8;22;0,363636364
01/07/2016;Torupilli;32;51;0,62745098
01/07/2016;Ülemiste;3;340;0,008823529
01/07/2016;Uus Maailm;55;65;0,846153846
01/07/2016;Uuslinn;2;22;0,090909091
01/07/2016;Väike-Õismäe;103;218;0,472477064
01/07/2016;Vana-Mustamäe;1;198;0,005050505
01/07/2016;Vanalinn;21;110;0,190909091
01/07/2016;V?;1;408;0,00245098
01/07/2016;Veerenni;23;92;0,25
01/10/2016;Astangu;48;207;0,231884058
01/10/2016;Haabersti;4;97;0,041237113
01/10/2016;Hiiu;8;263;0,030418251
01/10/2016;Järve;22;105;0,20952381
01/10/2016;Juhkentali;10;130;0,076923077
01/10/2016;Kadaka;29;281;0,103202847
01/10/2016;Kadriorg;55;256;0,21484375
01/10/2016;Kakumäe;9;251;0,035856574
01/10/2016;Kalamaja;134;210;0,638095238
01/10/2016;Karjamaa;57;97;0,587628866
01/10/2016;Kassisaba;17;45;0,377777778
01/10/2016;Katleri;20;38;0,526315789
01/10/2016;Keldrimäe;130;35;3,714285714
01/10/2016;Kelmiküla;22;21;1,047619048
01/10/2016;Kitseküla;33;140;0,235714286
01/10/2016;Kivimäe;17;222;0,076576577
01/10/2016;Kompassi;16;16;1
01/10/2016;Kopli;35;282;0,124113475
01/10/2016;Kose;42;346;0,121387283
01/10/2016;Kurepõllu;22;68;0,323529412
01/10/2016;Kuristiku;32;84;0,380952381
01/10/2016;Laagna;150;136;1,102941176
01/10/2016;Laagri;1;41;0,024390244
01/10/2016;Laiaküla;1;159;0,006289308
01/10/2016;Lepiku;7;162;0,043209877
01/10/2016;Liiva;30;264;0,113636364
01/10/2016;Lilleküla;142;546;0,26007326
01/10/2016;Loopealse;19;57;0,333333333
01/10/2016;Maakri;11;13;0,846153846
01/10/2016;Maarjamäe;5;155;0,032258065
01/10/2016;Mähe;16;282;0,056737589
01/10/2016;Männiku;21;447;0,046979866
01/10/2016;Merimetsa;1;134;0,007462687
01/10/2016;Merivälja;1;163;0,006134969
01/10/2016;Mustakivi;59;116;0,50862069
01/10/2016;Mustamäe;210;441;0,476190476
01/10/2016;Mustjõe;7;179;0,039106145
01/10/2016;Nõmme;13;480;0,027083333
01/10/2016;Õismäe;3;178;0,016853933
01/10/2016;Pääsküla;18;661;0,027231467
01/10/2016;Pae;56;58;0,965517241
01/10/2016;Paevälja;12;119;0,100840336
01/10/2016;Paljassaare;2;395;0,005063291
01/10/2016;Pelgulinn;125;238;0,525210084
01/10/2016;Pelguranna;81;100;0,81
01/10/2016;Pikaliiva;68;447;0,15212528
01/10/2016;Pirita;1;173;0,005780347
01/10/2016;Priisle;35;185;0,189189189
01/10/2016;Rahumäe;6;162;0,037037037
01/10/2016;Raua;23;31;0,741935484
01/10/2016;Raudalu;2;180;0,011111111
01/10/2016;Sääse;36;61;0,590163934
01/10/2016;Sadama;49;139;0,352517986
01/10/2016;Seli;69;95;0,726315789
01/10/2016;Sibulaküla;15;13;1,153846154
01/10/2016;Siili;8;26;0,307692308
01/10/2016;Sikupilli;65;135;0,481481481
01/10/2016;Sitsi;26;45;0,577777778
01/10/2016;Sõjamäe;1;747;0,001338688
01/10/2016;Südalinn;1;25;0,04
01/10/2016;Tatari;14;22;0,636363636
01/10/2016;Tiskre;15;139;0,107913669
01/10/2016;Tondi;22;133;0,165413534
01/10/2016;Tõnismäe;7;22;0,318181818
01/10/2016;Torupilli;28;51;0,549019608
01/10/2016;Ülemiste;10;340;0,029411765
01/10/2016;ÜlemisteJärve;1;1396;0,000716332
01/10/2016;Uus Maailm;56;65;0,861538462
01/10/2016;Uuslinn;3;22;0,136363636
01/10/2016;Väike-Õismäe;160;218;0,733944954
01/10/2016;Vana-Mustamäe;4;198;0,02020202
01/10/2016;Vanalinn;20;110;0,181818182
01/10/2016;Veerenni;19;92;0,206521739
01/10/2016;Vismeistri;1;143;0,006993007
01/01/2017;Astangu;105;207;0,507246377
01/01/2017;Haabersti;8;97;0,082474227
01/01/2017;Hiiu;11;263;0,041825095
01/01/2017;Järve;19;105;0,180952381
01/01/2017;Juhkentali;13;130;0,1
01/01/2017;Kadaka;28;281;0,099644128
01/01/2017;Kadriorg;50;256;0,1953125
01/01/2017;Kakumäe;7;251;0,027888446
01/01/2017;Kalamaja;132;210;0,628571429
