long;lat;order;hole;piece;id
535299,308;6589740,136;107;FALSE;1;Õismäe
535298,917;6589738,419;108;FALSE;1;Õismäe
535297,883;6589737,015;109;FALSE;1;Õismäe
535297,6723;6589736,689;110;FALSE;1;Õismäe
535297,18;6589735,929;111;FALSE;1;Õismäe
535296,169;6589734,66;112;FALSE;1;Õismäe
535295,932;6589732,844;113;FALSE;1;Õismäe
535296,355;6589730,354;114;FALSE;1;Õismäe
535298,041;6589726,826;115;FALSE;1;Õismäe
535301,577;6589718,537;116;FALSE;1;Õismäe
535302,946;6589715,328;117;FALSE;1;Õismäe
535304,436;6589712,726;118;FALSE;1;Õismäe
535304,892;6589711,929;119;FALSE;1;Õismäe
535305,558;6589710,346;120;FALSE;1;Õismäe
535305,6479;6589709,657;121;FALSE;1;Õismäe
535305,758;6589708,813;122;FALSE;1;Õismäe
535306,383;6589707,089;123;FALSE;1;Õismäe
535307,565;6589705,606;124;FALSE;1;Õismäe
535307,923;6589705,156;125;FALSE;1;Õismäe
535308,612;6589703,647;126;FALSE;1;Õismäe
535308,728;6589702,959;127;FALSE;1;Õismäe
535308,995;6589701,371;128;FALSE;1;Õismäe
535309,937;6589697,862;129;FALSE;1;Õismäe
535311,995;6589693,481;130;FALSE;1;Õismäe
535313,4656;6589691,679;131;FALSE;1;Õismäe
535316,967;6589687,388;132;FALSE;1;Õismäe
535317,826;6589686,335;133;FALSE;1;Õismäe
535322,268;6589682,825;134;FALSE;1;Õismäe
535327,224;6589678,315;135;FALSE;1;Õismäe
535333,331;6589672,375;136;FALSE;1;Õismäe
535339,471;6589667,815;137;FALSE;1;Õismäe
535345,755;6589664,432;138;FALSE;1;Õismäe
535353,341;6589659,854;139;FALSE;1;Õismäe
535365,814;6589654,974;140;FALSE;1;Õismäe
535382,81;6589649,039;141;FALSE;1;Õismäe
535387,905;6589646,694;142;FALSE;1;Õismäe
535389,156;6589645,847;143;FALSE;1;Õismäe
535390,625;6589644,521;144;FALSE;1;Õismäe
535391,304;6589643,368;145;FALSE;1;Õismäe
535391,996;6589639,809;146;FALSE;1;Õismäe
535392,873;6589638,13;147;FALSE;1;Õismäe
535394,093;6589636,862;148;FALSE;1;Õismäe
535396,684;6589635,36;149;FALSE;1;Õismäe
535400,699;6589634,013;150;FALSE;1;Õismäe
535407,183;6589632,426;151;FALSE;1;Õismäe
535413,955;6589631,067;152;FALSE;1;Õismäe
535427,896;6589626,203;153;FALSE;1;Õismäe
535440,038;6589622,168;154;FALSE;1;Õismäe
535447,409;6589619,108;155;FALSE;1;Õismäe
535451,413;6589616,249;156;FALSE;1;Õismäe
535456,2499;6589611,708;157;FALSE;1;Õismäe
535456,589;6589611,39;158;FALSE;1;Õismäe
535457,456;6589610,576;159;FALSE;1;Õismäe
535457,9096;6589609,655;160;FALSE;1;Õismäe
535458,568;6589608,319;161;FALSE;1;Õismäe
535460,861;6589603,964;162;FALSE;1;Õismäe
535463,967;6589598,065;163;FALSE;1;Õismäe
535467,942;6589589,953;164;FALSE;1;Õismäe
535474,038;6589582,941;165;FALSE;1;Õismäe
535482,643;6589571,574;166;FALSE;1;Õismäe
535484,1689;6589570,006;167;FALSE;1;Õismäe
535490,098;6589563,911;168;FALSE;1;Õismäe
535494,973;6589557,761;169;FALSE;1;Õismäe
535496,759;6589552,045;170;FALSE;1;Õismäe
535498,209;6589548,726;171;FALSE;1;Õismäe
535501,377;6589544,75;172;FALSE;1;Õismäe
535504,037;6589542,125;173;FALSE;1;Õismäe
535507,3193;6589536,235;174;FALSE;1;Õismäe
535507,734;6589535,491;175;FALSE;1;Õismäe
535510,521;6589531,184;176;FALSE;1;Õismäe
535511,3;6589529,976;177;FALSE;1;Õismäe
535514,587;6589527,545;178;FALSE;1;Õismäe
535521,9775;6589524,651;179;FALSE;1;Õismäe
535525,863;6589523,13;180;FALSE;1;Õismäe
535538,349;6589519,015;181;FALSE;1;Õismäe
535546,124;6589516,68;182;FALSE;1;Õismäe
535548,178;6589515,581;183;FALSE;1;Õismäe
535549,919;6589513,949;184;FALSE;1;Õismäe
535551,152;6589512,347;185;FALSE;1;Õismäe
535552,595;6589507,703;186;FALSE;1;Õismäe
535553,113;6589504,961;187;FALSE;1;Õismäe
535553,649;6589502,814;188;FALSE;1;Õismäe
535554,445;6589501,114;189;FALSE;1;Õismäe
535555,6838;6589500,194;190;FALSE;1;Õismäe
535557,247;6589499,032;191;FALSE;1;Õismäe
535558,458;6589498,131;192;FALSE;1;Õismäe
535564,336;6589494,696;193;FALSE;1;Õismäe
535576,137;6589487,37;194;FALSE;1;Õismäe
535584,369;6589480,267;195;FALSE;1;Õismäe
535593,414;6589471,96;196;FALSE;1;Õismäe
535608,257;6589465,26;197;FALSE;1;Õismäe
535623,925;6589457,725;198;FALSE;1;Õismäe
535638,808;6589448,065;199;FALSE;1;Õismäe
535650,513;6589440,899;200;FALSE;1;Õismäe
535654,4136;6589438,297;201;FALSE;1;Õismäe
535643,1399;6589424,405;202;FALSE;1;Õismäe
535612,6771;6589386,847;203;FALSE;1;Õismäe
535462,7837;6589201,997;204;FALSE;1;Õismäe
535578,1363;6589089,398;205;FALSE;1;Õismäe
535672,0325;6588744,131;206;FALSE;1;Õismäe
535751,1935;6588612,085;207;FALSE;1;Õismäe
536164,7037;6588318,836;208;FALSE;1;Õismäe
536192,7131;6588312,601;209;FALSE;1;Õismäe
535976,9407;6587993,719;210;FALSE;1;Õismäe
535970,1201;6587983,739;211;FALSE;1;Õismäe
535923,8353;6587916,042;212;FALSE;1;Õismäe
535847,6189;6587804,454;213;FALSE;1;Õismäe
535809,1393;6587827,83;214;FALSE;1;Õismäe
535740,8939;6587895,515;215;FALSE;1;Õismäe
535504,5865;6588081,271;216;FALSE;1;Õismäe
535425,9505;6588141,117;217;FALSE;1;Õismäe
535224,5223;6588464,451;218;FALSE;1;Õismäe
535214,1525;6588467,942;219;FALSE;1;Õismäe
535195,2;6588498,28;220;FALSE;1;Õismäe
535179,25;6588525,41;221;FALSE;1;Õismäe
535172,66;6588539,07;222;FALSE;1;Õismäe
535150,18;6588594,73;223;FALSE;1;Õismäe
535134,73;6588630,25;224;FALSE;1;Õismäe
535113,53;6588659,1;225;FALSE;1;Õismäe
535082,36;6588686,21;226;FALSE;1;Õismäe
535027,5;6588713,57;227;FALSE;1;Õismäe
534980,25;6588734,54;228;FALSE;1;Õismäe
534943,96;6588749,33;229;FALSE;1;Õismäe
534848,83;6588764,55;230;FALSE;1;Õismäe
534834,02;6588766,91;231;FALSE;1;Õismäe
534783,82;6588780,07;232;FALSE;1;Õismäe
534732,63;6588803,73;233;FALSE;1;Õismäe
534730,9345;6588812,796;234;FALSE;1;Õismäe
534727,1747;6588814,626;235;FALSE;1;Õismäe
534707,8455;6588827,277;236;FALSE;1;Õismäe
534677,5867;6588847,069;237;FALSE;1;Õismäe
534659,1875;6588859,101;238;FALSE;1;Õismäe
534667,3389;6588881,34;239;FALSE;1;Õismäe
534668,0593;6588886,17;240;FALSE;1;Õismäe
534677,4935;6588949,32;241;FALSE;1;Õismäe
534681,9027;6589085,16;242;FALSE;1;Õismäe
534685,3199;6589190,52;243;FALSE;1;Õismäe
534689,4451;6589267,28;244;FALSE;1;Õismäe
534693,5705;6589344,05;245;FALSE;1;Õismäe
534695,2007;6589349,54;246;FALSE;1;Õismäe
534591,1369;6589448,028;247;FALSE;1;Õismäe
534456,4749;6589575,757;248;FALSE;1;Õismäe
534421,4969;6589608,93;249;FALSE;1;Õismäe
534314,5031;6589707,198;250;FALSE;1;Õismäe
534265,8959;6589751,841;251;FALSE;1;Õismäe
534216,5187;6589797,195;252;FALSE;1;Õismäe
534188,5103;6589824,567;253;FALSE;1;Õismäe
534182,1407;6589830,807;254;FALSE;1;Õismäe
534159,8221;6589852,619;255;FALSE;1;Õismäe
534131,1237;6589880,661;256;FALSE;1;Õismäe
534166,5959;6589911,689;257;FALSE;1;Õismäe
534190,2975;6589932,437;258;FALSE;1;Õismäe
534214,0091;6589953,176;259;FALSE;1;Õismäe
534238,4707;6589974,574;260;FALSE;1;Õismäe
534252,0215;6589986,434;261;FALSE;1;Õismäe
534275,7231;6590007,172;262;FALSE;1;Õismäe
534299,0547;6590027,581;263;FALSE;1;Õismäe
534322,3861;6590047,999;264;FALSE;1;Õismäe
534345,7177;6590068,408;265;FALSE;1;Õismäe
534369,0593;6590088,826;266;FALSE;1;Õismäe
534385,5303;6590103,245;267;FALSE;1;Õismäe
534397,0711;6590113,335;268;FALSE;1;Õismäe
534409,1619;6590125,714;269;FALSE;1;Õismäe
534434,1437;6590148,172;270;FALSE;1;Õismäe
534441,0941;6590154,422;271;FALSE;1;Õismäe
534495,6059;6590203,829;272;FALSE;1;Õismäe
534503,328;6590211,361;273;FALSE;1;Õismäe
534505,366;6590211,36;274;FALSE;1;Õismäe
534507,733;6590210,862;275;FALSE;1;Õismäe
534509,793;6590210,107;276;FALSE;1;Õismäe
534510,254;6590209,716;277;FALSE;1;Õismäe
534511,77;6590208,431;278;FALSE;1;Õismäe
534514,449;6590205,369;279;FALSE;1;Õismäe
534515,163;6590204,122;280;FALSE;1;Õismäe
534516,036;6590202,596;281;FALSE;1;Õismäe
534516,506;6590199,958;282;FALSE;1;Õismäe
534516,386;6590197,621;283;FALSE;1;Õismäe
534516,5759;6590195,928;284;FALSE;1;Õismäe
534516,598;6590195,731;285;FALSE;1;Õismäe
534516,6239;6590195,688;286;FALSE;1;Õismäe
534517,001;6590195,062;287;FALSE;1;Õismäe
534517,33;6590194,517;288;FALSE;1;Õismäe
534517,382;6590194,431;289;FALSE;1;Õismäe
534518,958;6590193,485;290;FALSE;1;Õismäe
