qtr_year;region;total_count;region_area;tran_p_ha
1.07.2015;Kompassi;11;16;0,6875
1.07.2015;Kopli;27;282;0,095744681
1.07.2015;Kose;10;346;0,028901734
1.07.2015;Kurepõllu;16;68;0,235294118
1.07.2015;Kuristiku;33;84;0,392857143
1.07.2015;Laagna;81;136;0,595588235
1.07.2015;Laagri;2;41;0,048780488
1.07.2015;Lepiku;4;162;0,024691358
1.07.2015;Liiva;1;264;0,003787879
1.07.2015;Lilleküla;134;546;0,245421245
1.07.2015;Loopealse;9;57;0,157894737
1.07.2015;Maakri;9;13;0,692307692
1.07.2015;Maarjamäe;15;155;0,096774194
1.07.2015;Mähe;14;282;0,04964539
1.07.2015;Männiku;19;447;0,042505593
1.07.2015;Merivälja;1;163;0,006134969
1.07.2015;Mustakivi;51;116;0,439655172
1.07.2015;Mustamäe;222;441;0,503401361
1.07.2015;Mustjõe;10;179;0,055865922
1.07.2015;Nõmme;7;480;0,014583333
1.07.2015;Õismäe;4;178;0,02247191
1.07.2015;Pääsküla;17;661;0,025718608
1.07.2015;Pae;32;58;0,551724138
1.07.2015;Paevälja;22;119;0,18487395
1.07.2015;Paljassaare;3;395;0,007594937
1.07.2015;Pelgulinn;109;238;0,457983193
1.07.2015;Pelguranna;66;100;0,66
1.07.2015;Pikaliiva;64;447;0,143176734
1.07.2015;Pirita;1;173;0,005780347
1.07.2015;Priisle;36;185;0,194594595
1.07.2015;Rahumäe;6;162;0,037037037
1.07.2015;Raua;21;31;0,677419355
1.07.2015;Raudalu;6;180;0,033333333
1.07.2015;Sääse;28;61;0,459016393
1.07.2015;Sadama;19;139;0,136690647
1.07.2015;Seli;37;95;0,389473684
1.07.2015;Sibulaküla;11;13;0,846153846
1.07.2015;Siili;16;26;0,615384615
1.07.2015;Sikupilli;68;135;0,503703704
1.07.2015;Sitsi;30;45;0,666666667
1.07.2015;Sõjamäe;1;747;0,001338688
1.07.2015;Südalinn;2;25;0,08
1.07.2015;Tatari;24;22;1,090909091
1.07.2015;Tiskre;11;139;0,079136691
1.07.2015;Tondi;21;133;0,157894737
1.07.2015;Tõnismäe;7;22;0,318181818
1.07.2015;Torupilli;36;51;0,705882353
1.07.2015;Ülemiste;6;340;0,017647059
1.07.2015;Uus Maailm;46;65;0,707692308
1.07.2015;Uuslinn;6;22;0,272727273
1.07.2015;Väike-Õismäe;100;218;0,458715596
1.07.2015;Vana-Mustamäe;2;198;0,01010101
1.07.2015;Vanalinn;21;110;0,190909091
1.07.2015;Veerenni;28;92;0,304347826
1.10.2015;Astangu;33;207;0,15942029
1.10.2015;Haabersti;9;97;0,092783505
1.10.2015;Hiiu;10;263;0,038022814
1.10.2015;Järve;14;105;0,133333333
1.10.2015;Juhkentali;29;130;0,223076923
1.10.2015;Kadaka;114;281;0,40569395
1.10.2015;Kadriorg;68;256;0,265625
1.10.2015;Kalamaja;167;210;0,795238095
1.10.2015;Karjamaa;34;97;0,350515464
1.10.2015;Kassisaba;30;45;0,666666667
1.10.2015;Katleri;21;38;0,552631579
1.10.2015;Keldrimäe;61;35;1,742857143
1.10.2015;Kelmiküla;13;21;0,619047619
1.10.2015;Kitseküla;45;140;0,321428571
1.10.2015;Kivimäe;9;222;0,040540541
1.10.2015;Kompassi;10;16;0,625
1.10.2015;Kopli;38;282;0,134751773
1.10.2015;Kose;9;346;0,026011561
1.10.2015;Kurepõllu;13;68;0,191176471
1.10.2015;Kuristiku;32;84;0,380952381
1.10.2015;Laagna;72;136;0,529411765
1.10.2015;Laagri;1;41;0,024390244
1.10.2015;Laiaküla;1;159;0,006289308
1.10.2015;Lepiku;4;162;0,024691358
1.10.2015;Liiva;4;264;0,015151515
1.10.2015;Lilleküla;173;546;0,316849817
1.10.2015;Loopealse;15;57;0,263157895
1.10.2015;Maakri;14;13;1,076923077
1.10.2015;Maarjamäe;7;155;0,04516129
1.10.2015;Mähe;17;282;0,060283688
1.10.2015;Männiku;25;447;0,055928412
1.10.2015;Merimetsa;2;134;0,014925373
1.10.2015;Merivälja;2;163;0,012269939
1.10.2015;Mustakivi;65;116;0,560344828
1.10.2015;Mustamäe;217;441;0,492063492
1.10.2015;Mustjõe;6;179;0,033519553
1.10.2015;Nõmme;17;480;0,035416667
1.10.2015;Õismäe;7;178;0,039325843
1.10.2015;Pääsküla;23;661;0,034795764
1.10.2015;Pae;56;58;0,965517241
1.10.2015;Paevälja;11;119;0,092436975
1.10.2015;Paljassaare;2;395;0,005063291
1.10.2015;Pelgulinn;103;238;0,432773109
1.10.2015;Pelguranna;77;100;0,77
1.10.2015;Pikaliiva;47;447;0,105145414
1.10.2015;Pirita;7;173;0,040462428
1.10.2015;Priisle;30;185;0,162162162
1.10.2015;Rahumäe;6;162;0,037037037
1.10.2015;Raua;37;31;1,193548387
1.10.2015;Sääse;47;61;0,770491803
1.10.2015;Sadama;24;139;0,172661871
1.10.2015;Seli;57;95;0,6
1.10.2015;Sibulaküla;17;13;1,307692308
1.10.2015;Siili;14;26;0,538461538
1.10.2015;Sikupilli;108;135;0,8
1.10.2015;Sitsi;22;45;0,488888889
